<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>71109 YZT Port Hardy Observations at 00Z 01 Jul 2013</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1014.0     17   18.4   14.8     80  10.54    350      5  290.4  320.3  292.2
 1012.0     34   17.0   12.3     74   8.95    346      6  289.2  314.6  290.7
 1001.0    125   15.6   12.0     79   8.87    327     11  288.7  313.8  290.2
 1000.0    133   15.6   12.0     79   8.88    325     11  288.8  313.9  290.3
  980.0    306   18.4   12.4     68   9.31    320     10  293.2  320.1  294.9
  967.0    421   18.8   11.8     64   9.06      9      7  294.8  321.1  296.4
  947.0    600   17.8   10.8     64   8.66     86      1  295.5  320.8  297.1
  945.9    610   17.8   10.8     64   8.64     90      1  295.6  320.8  297.1
  925.0    801   16.8    9.8     63   8.28    130      3  296.5  320.8  298.0
  912.8    914   16.4    9.4     63   8.20    120      5  297.2  321.4  298.7
  897.0   1063   16.0    9.0     63   8.09    137      7  298.3  322.2  299.7
  880.6   1219   14.8    8.8     68   8.15    155     10  298.6  322.7  300.0
  850.0   1518   12.4    8.5     77   8.26    150     14  299.1  323.6  300.6
  844.0   1577   12.0    8.2     78   8.15    150     16  299.3  323.5  300.8
  818.8   1829   10.4    6.0     74   7.21    150     22  300.2  321.8  301.5
  789.2   2134    8.4    3.3     70   6.19    150     25  301.2  320.0  302.4
  760.8   2438    6.4    0.6     67   5.30    165     31  302.3  318.5  303.3
  752.0   2534    5.8   -0.2     65   5.04    168     31  302.6  318.1  303.5
  732.9   2743    4.1   -0.1     74   5.21    175     31  303.0  319.1  304.0
  718.0   2911    2.8    0.0     82   5.36    173     34  303.4  319.8  304.3
  700.0   3116    1.6   -1.9     78   4.78    170     37  304.2  319.0  305.1
  681.0   3337    0.0   -3.4     78   4.39    165     41  304.8  318.5  305.6
  679.7   3353   -0.1   -4.4     73   4.07    165     41  304.9  317.7  305.7
  673.0   3432   -0.5   -9.5     51   2.78    168     42  305.3  314.2  305.8
  659.0   3599   -1.9   -3.8     87   4.40    173     43  305.6  319.4  306.4
  654.2   3658   -2.4   -4.0     89   4.37    175     43  305.6  319.3  306.4
  650.0   3709   -2.9   -4.2     91   4.33    173     43  305.6  319.2  306.4
  638.0   3856   -4.1   -5.0     93   4.15    168     42  305.9  319.0  306.7
  634.0   3906   -4.5   -5.4     93   4.05    167     42  306.0  318.8  306.8
  631.0   3943   -4.7   -8.5     75   3.21    166     42  306.2  316.4  306.8
  629.5   3962   -4.5  -13.5     50   2.15    165     42  306.6  313.6  307.0
  626.0   4006   -4.1  -25.1     18   0.80    166     42  307.6  310.4  307.7
  617.0   4120   -4.1  -35.1      7   0.32    168     41  308.9  310.0  308.9
  605.5   4267   -4.9  -33.9      8   0.36    170     40  309.6  310.9  309.7
  588.0   4498   -6.1  -32.1     11   0.44    181     41  310.8  312.4  310.9
  582.4   4572   -6.3  -22.1     27   1.13    185     41  311.4  315.3  311.6
  582.0   4578   -6.3  -21.3     29   1.21    185     41  311.5  315.6  311.7
  578.0   4632   -6.5   -9.2     81   3.31    185     41  311.9  322.6  312.5
  569.0   4754   -6.9  -15.9     49   1.96    185     42  312.8  319.4  313.2
  560.1   4877   -7.9  -11.2     77   2.91    185     43  313.0  322.6  313.5
  557.0   4920   -8.3   -9.6     90   3.33    185     43  313.1  323.9  313.7
  532.0   5275  -10.9  -13.4     82   2.57    187     48  314.1  322.6  314.6
  526.0   5362  -11.1  -16.1     67   2.08    188     49  314.9  321.9  315.2
  521.0   5435  -11.1  -25.1     31   0.96    188     49  315.7  319.1  315.9
  515.0   5524  -11.7  -17.7     61   1.86    189     50  316.0  322.4  316.4
  503.0   5704  -12.9  -17.9     66   1.87    190     52  316.7  323.1  317.1
  500.0   5750  -13.3  -19.3     61   1.67    190     53  316.8  322.5  317.1
  479.0   6075  -15.7  -20.7     65   1.54    190     57  317.7  323.1  318.0
  477.7   6096  -15.8  -21.3     63   1.47    190     57  317.8  322.9  318.1
  458.6   6401  -17.5  -30.0     33   0.70    190     59  319.4  322.0  319.6
  452.0   6510  -18.1  -33.1     26   0.52    192     56  320.0  322.0  320.1
  440.2   6706  -19.6  -32.8     30   0.55    195     51  320.5  322.6  320.6
  426.0   6950  -21.5  -32.5     36   0.59    195     52  321.1  323.3  321.2
  417.0   7106  -22.9  -37.9     24   0.35    195     53  321.3  322.6  321.4
  412.0   7195  -23.5  -33.5     39   0.55    195     54  321.6  323.7  321.7
  404.0   7338  -24.3  -49.3      8   0.11    195     55  322.4  322.8  322.4
  400.0   7410  -24.7  -48.7      9   0.11    195     55  322.8  323.3  322.8
  388.6   7620  -26.1  -52.5      7   0.08    195     59  323.6  323.9  323.6
  381.0   7764  -27.1  -55.1      5   0.06    196     61  324.2  324.4  324.2
  373.0   7917  -27.7  -50.7      9   0.10    197     62  325.3  325.7  325.4
  360.0   8171  -30.1  -43.1     27   0.24    199     65  325.4  326.4  325.5
  358.0   8211  -30.5  -38.5     45   0.39    199     66  325.4  326.9  325.5
  354.0   8291  -31.1  -44.1     27   0.22    199     67  325.7  326.5  325.7
  352.0   8331  -31.5  -42.5     33   0.26    200     67  325.6  326.7  325.7
  343.0   8515  -32.3  -36.5     66   0.49    201     69  327.0  328.9  327.1
  313.4   9144  -36.7  -40.4     69   0.36    205     77  329.3  330.7  329.4
  300.0   9450  -38.9  -42.3     70   0.31    205     84  330.4  331.7  330.5
  291.0   9657  -40.3  -43.3     73   0.29    206     87  331.3  332.5  331.4
  277.0   9990  -43.3  -48.3     58   0.17    207     92  331.7  332.4  331.7
  269.0  10186  -44.7  -47.9     70   0.19    208     95  332.4  333.2  332.5
  262.0  10361  -46.1  -50.2     63   0.15    209     98  332.9  333.5  332.9
  253.0  10592  -47.3  -61.3     19   0.04    210    102  334.5  334.6  334.5
  250.1  10668  -47.7  -56.8     34   0.07    210    103  335.0  335.3  335.0
  250.0  10670  -47.7  -56.7     35   0.07    210    103  335.0  335.3  335.0
  231.0  11187  -52.1  -59.1     43   0.06    213    105  336.0  336.2  336.0
  224.0  11386  -53.9  -61.9     37   0.04    214    105  336.2  336.4  336.2
  219.0  11530  -54.3  -63.3     32   0.03    215    106  337.7  337.9  337.7
  217.2  11582  -54.5  -63.9     31   0.03    215    106  338.2  338.4  338.2
  200.0  12110  -56.1  -69.1     18   0.02    210     91  343.8  343.9  343.8
  195.0  12271  -56.9  -69.9     18   0.02    210     88  345.0  345.1  345.0
  186.0  12573  -55.5  -75.5      7   0.01    208     78  351.9  352.0  351.9
  178.0  12856  -51.7  -84.7      1   0.00    206     68  362.6  362.6  362.6
  171.0  13118  -51.5  -84.5      1   0.00    204     60  367.1  367.1  367.1
  156.0  13716  -51.9  -84.9      1   0.00    200     40  376.2  376.2  376.2
  150.0  13970  -52.1  -85.1      1   0.00    195     44  380.1  380.1  380.1
  142.0  14326  -51.2  -85.1      1   0.00    195     50  387.7  387.7  387.7
  141.0  14371  -51.1  -85.1      1   0.00    195     49  388.6  388.6  388.6
  123.2  15240  -53.3  -86.5      1   0.00    205     25  399.8  399.8  399.8
  119.0  15465  -53.9  -86.9      1   0.00    220     25  402.8  402.8  402.8
  117.5  15545  -53.7  -86.7      1   0.00    225     25  404.5  404.5  404.5
  112.1  15850  -53.1  -86.1      1   0.00    185     24  411.2  411.2  411.2
  112.0  15855  -53.1  -86.1      1   0.00    185     24  411.3  411.3  411.3
  110.0  15972  -50.1  -84.1      1   0.00    189     22  419.1  419.1  419.1
  108.0  16091  -49.7  -83.7      1   0.00    193     19  422.0  422.1  422.0
  107.0  16154  -50.2  -84.0      1   0.00    195     18  422.3  422.3  422.3
  102.0  16459  -52.5  -85.8      1   0.00    175     17  423.6  423.6  423.6
  100.0  16590  -53.5  -86.5      1   0.00    175     17  424.1  424.1  424.1
   97.3  16764  -53.7  -86.5      1   0.00    190     24  426.9  426.9  426.9
   88.5  17374  -54.5  -86.7      1   0.00    225     10  437.1  437.1  437.1
   86.9  17491  -54.7  -86.7      1   0.00    170     10  439.0  439.0  439.0
   84.4  17678  -55.7  -87.7      1   0.00     80     10  440.7  440.7  440.7
   81.1  17930  -57.1  -89.1      1   0.00    115     15  442.9  442.9  442.9
   80.4  17983  -56.8  -88.9      1   0.00    130     17  444.5  444.5  444.5
