,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,1014.0,17.0,18.4,14.8,80.0,10.493077802584121,350.0,5.0,290.4,320.3,292.2
1,1012.0,34.0,17.0,12.3,74.0,8.911909444512599,346.0,6.0,289.2,314.6,290.7
2,1001.0,125.0,15.6,12.0,79.0,8.832533149558902,327.0,11.0,288.7,313.8,290.2
3,1000.0,133.0,15.6,12.0,79.0,8.841491233776651,325.0,11.0,288.8,313.9,290.3
4,980.0,306.0,18.4,12.4,68.0,9.26884147603851,320.0,10.0,293.2,320.1,294.9
5,967.0,421.0,18.8,11.8,64.0,9.026028151960437,9.0,7.0,294.8,321.1,296.4
6,947.0,600.0,17.8,10.8,64.0,8.620085898568759,86.0,1.0,295.5,320.8,297.1
7,945.9,610.0,17.8,10.8,64.0,8.63024940268161,90.0,1.0,295.6,320.8,297.1
8,925.0,801.0,16.8,9.8,63.0,8.250030367328826,130.0,3.0,296.5,320.8,298.0
9,912.8,914.0,16.4,9.4,63.0,8.137217431276929,120.0,5.0,297.2,321.4,298.7
10,897.0,1063.0,16.0,9.0,63.0,8.059358859139271,137.0,7.0,298.3,322.2,299.7
11,880.6,1219.0,14.8,8.8,68.0,8.099827242178277,155.0,10.0,298.6,322.7,300.0
12,850.0,1518.0,12.4,8.5,77.0,8.224401732631927,150.0,14.0,299.1,323.6,300.6
13,844.0,1577.0,12.0,8.2,78.0,8.114598835529124,150.0,16.0,299.3,323.5,300.8
14,818.8,1829.0,10.4,6.0,74.0,7.183356673321456,150.0,22.0,300.2,321.8,301.5
15,789.2,2134.0,8.4,3.3,70.0,6.161372786061615,150.0,25.0,301.2,320.0,302.4
16,760.8,2438.0,6.4,0.6,67.0,5.262900558681009,165.0,31.0,302.3,318.5,303.3
17,752.0,2534.0,5.8,-0.2,65.0,5.022738262600123,168.0,31.0,302.6,318.1,303.5
18,732.9,2743.0,4.1,-0.1,74.0,5.192622333527625,175.0,31.0,303.0,319.1,304.0
19,718.0,2911.0,2.8,0.0,82.0,5.340255770570652,173.0,34.0,303.4,319.8,304.3
20,700.0,3116.0,1.6,-1.9,78.0,4.762536302625654,170.0,37.0,304.2,319.0,305.1
21,681.0,3337.0,0.0,-3.4,78.0,4.377263913620395,165.0,41.0,304.8,318.5,305.6
22,679.7,3353.0,-0.1,-4.4,73.0,4.066938226193408,165.0,41.0,304.9,317.7,305.7
23,673.0,3432.0,-0.5,-9.5,51.0,2.7690908523634676,168.0,42.0,305.3,314.2,305.8
24,659.0,3599.0,-1.9,-3.8,87.0,4.390218022471429,173.0,43.0,305.6,319.4,306.4
25,654.2,3658.0,-2.4,-4.0,89.0,4.3563983512271385,175.0,43.0,305.6,319.3,306.4
26,650.0,3709.0,-2.9,-4.2,91.0,4.318948144964671,173.0,43.0,305.6,319.2,306.4
27,638.0,3856.0,-4.1,-5.0,93.0,4.141474401066872,168.0,42.0,305.9,319.0,306.7
28,634.0,3906.0,-4.5,-5.4,93.0,4.0425506975527945,167.0,42.0,306.0,318.8,306.8
29,631.0,3943.0,-4.7,-8.5,75.0,3.1959540704685936,166.0,42.0,306.2,316.4,306.8
