,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,983.0,313.0,16.0,8.0,59.0,6.859401762173899,300.0,7.0,290.6,310.4,291.8
1,975.0,383.0,18.4,5.4,42.0,5.773944680835917,307.0,10.0,293.7,310.7,294.7
2,949.6,610.0,16.4,3.9,43.0,5.3347520641219255,330.0,18.0,293.9,309.7,294.8
3,925.0,835.0,14.4,2.4,44.0,4.922138130139257,350.0,21.0,294.0,308.7,294.9
4,916.4,914.0,13.7,1.7,44.0,4.724759794691403,350.0,22.0,294.1,308.2,294.9
5,888.0,1178.0,11.4,-0.6,43.0,4.125493035440284,359.0,27.0,294.4,306.8,295.1
6,883.7,1219.0,11.3,-1.6,41.0,3.8511594162050686,0.0,28.0,294.7,306.3,295.4
7,873.0,1320.0,11.0,-4.0,35.0,3.2588337025338565,2.0,30.0,295.4,305.4,296.0
8,866.0,1388.0,12.8,-10.2,19.0,2.0340569514116216,3.0,31.0,297.9,304.4,298.3
9,862.0,1427.0,12.8,-9.2,21.0,2.2114746794948066,3.0,32.0,298.3,305.4,298.8
10,852.0,1524.0,12.1,-3.6,33.0,3.441698706600526,5.0,34.0,298.6,309.2,299.2
11,851.0,1534.0,12.0,-3.0,35.0,3.604360208892505,5.0,33.0,298.6,309.7,299.3
12,850.0,1544.0,11.8,-2.2,38.0,3.830498322944886,5.0,32.0,298.5,310.3,299.2
13,845.0,1593.0,11.4,1.4,50.0,5.017362080932163,3.0,32.0,298.6,313.8,299.5
14,821.3,1829.0,9.6,0.9,55.0,4.979597976716566,355.0,30.0,299.1,314.3,300.0
15,791.5,2134.0,7.3,0.2,61.0,4.911755426170116,335.0,25.0,299.8,314.8,300.7
16,773.0,2330.0,5.8,-0.2,65.0,4.8852144226157765,322.0,24.0,300.2,315.2,301.1
17,762.9,2438.0,6.7,-0.8,59.0,4.737025369569577,315.0,24.0,302.4,317.0,303.2
18,760.0,2469.0,7.0,-1.0,57.0,4.685697453908651,314.0,24.0,303.0,317.5,303.9
19,749.0,2589.0,6.4,-0.6,61.0,4.897133048769729,310.0,25.0,303.6,318.8,304.5
20,744.0,2644.0,7.6,-1.4,53.0,4.647906627171128,308.0,25.0,305.5,320.1,306.4
21,735.1,2743.0,7.4,-2.6,49.0,4.303257786152131,305.0,25.0,306.3,319.9,307.1
22,735.0,2744.0,7.4,-2.6,49.0,4.30384731453489,305.0,25.0,306.4,319.9,307.1
23,722.0,2892.0,9.0,-4.0,40.0,3.944712755458041,312.0,29.0,309.7,322.3,310.4
24,707.0,3065.0,7.6,-4.4,42.0,3.908911130279808,321.0,33.0,310.0,322.6,310.7
25,700.0,3147.0,7.2,-6.8,36.0,3.2862706587602672,325.0,35.0,310.4,321.1,311.1
26,680.0,3385.0,6.2,-12.8,24.0,2.10452333296018,332.0,32.0,311.9,318.9,312.3
27,657.5,3658.0,4.1,-18.6,17.0,1.343849264974803,340.0,29.0,312.5,317.2,312.8
28,638.0,3903.0,2.2,-23.8,13.0,0.8799295447342588,324.0,25.0,313.1,316.2,313.2
29,633.3,3962.0,1.8,-23.6,13.0,0.9024234732632122,320.0,24.0,313.2,316.4,313.4
30,617.0,4172.0,0.2,-22.8,16.0,0.9944916248508281,310.0,27.0,313.8,317.3,314.0
31,609.7,4267.0,-0.3,-23.7,15.0,0.9290866522398268,305.0,28.0,314.2,317.5,314.4
32,581.0,4651.0,-2.5,-27.5,13.0,0.6906655291075955,292.0,29.0,316.1,318.6,316.2
33,564.5,4877.0,-4.5,-28.0,14.0,0.6787341966694262,285.0,29.0,316.3,318.8,316.4
34,549.0,5097.0,-6.5,-28.5,16.0,0.6662194865996804,294.0,32.0,316.5,318.9,316.6
35,522.0,5486.0,-9.1,-28.9,18.0,0.6750336868918432,310.0,36.0,317.9,320.4,318.1
36,500.0,5820.0,-11.3,-29.3,21.0,0.6788412474429943,305.0,41.0,319.2,321.7,319.3
37,482.2,6096.0,-13.3,-31.3,20.0,0.5824012953197915,300.0,44.0,320.1,322.2,320.2
38,475.0,6212.0,-14.1,-32.1,20.0,0.5475293748638443,299.0,44.0,320.4,322.5,320.6
39,444.8,6706.0,-18.6,-32.7,28.0,0.5517979853014088,295.0,42.0,320.9,322.9,321.0
40,444.0,6719.0,-18.7,-32.7,28.0,0.5527930995129788,295.0,42.0,320.9,322.9,321.0
41,428.0,6992.0,-20.1,-40.1,15.0,0.2727760446492698,304.0,42.0,322.5,323.6,322.5
42,400.0,7490.0,-24.1,-44.1,14.0,0.19091587604297916,320.0,42.0,323.6,324.4,323.6
43,393.0,7618.0,-25.3,-44.3,15.0,0.19015166319527257,325.0,42.0,323.6,324.4,323.7
