,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,996.0,172.0,25.0,23.6,92.0,18.73475437471136,250.0,2.0,298.5,353.5,301.8
1,990.0,226.0,27.6,24.2,82.0,19.56661604546062,258.0,5.0,301.6,359.9,305.1
2,982.0,299.0,28.8,22.8,70.0,18.085857008288095,269.0,10.0,303.5,357.8,306.8
3,948.5,610.0,28.7,19.2,57.0,14.931677749098078,315.0,28.0,306.4,351.7,309.2
4,934.0,748.0,28.6,17.6,51.0,13.68869709963526,312.0,23.0,307.7,349.5,310.2
5,925.0,835.0,28.2,17.2,51.0,13.472201731467004,310.0,20.0,308.1,349.4,310.6
6,916.8,914.0,27.6,16.9,52.0,13.333783457933071,310.0,22.0,308.3,349.2,310.7
7,885.6,1219.0,25.0,15.9,57.0,12.943749098106577,325.0,21.0,308.7,348.4,311.1
8,861.0,1468.0,23.0,15.0,61.0,12.558881716489022,325.0,19.0,309.1,347.7,311.4
9,855.5,1524.0,22.7,14.2,59.0,11.992386119063493,325.0,18.0,309.3,346.3,311.6
10,850.0,1580.0,22.4,13.4,57.0,11.448633970195075,320.0,13.0,309.6,344.9,311.7
11,826.0,1829.0,20.8,11.8,56.0,10.593030934008022,305.0,6.0,310.4,343.3,312.4
12,826.0,1829.0,20.8,11.8,56.0,10.593030934008022,305.0,6.0,310.4,343.3,312.4
13,796.7,2134.0,18.0,9.9,59.0,9.664678694130888,320.0,7.0,310.7,340.7,312.5
14,768.6,2438.0,15.2,8.0,62.0,8.799893814891082,330.0,12.0,310.9,338.3,312.6
15,741.4,2743.0,12.4,6.0,65.0,7.942854576647954,330.0,15.0,311.1,336.1,312.6
16,700.0,3229.0,8.0,3.0,71.0,6.807669641623612,340.0,19.0,311.3,332.8,312.6
17,679.0,3479.0,5.6,1.6,75.0,6.347590313050922,346.0,22.0,311.4,331.4,312.6
18,673.0,3552.0,5.4,-1.6,61.0,5.066685580425027,348.0,24.0,311.9,328.1,312.9
19,666.0,3638.0,6.2,-15.8,19.0,1.6794857849471703,350.0,25.0,313.8,319.5,314.1
20,664.3,3658.0,6.2,-16.4,18.0,1.6015868049065554,350.0,25.0,313.9,319.4,314.2
21,644.0,3912.0,5.6,-23.4,10.0,0.9033503171222919,15.0,17.0,316.1,319.3,316.3
22,640.1,3962.0,5.5,-23.4,10.0,0.9088622904356571,20.0,15.0,316.5,319.8,316.7
23,616.5,4267.0,4.7,-23.7,11.0,0.9188236807440819,10.0,20.0,319.1,322.4,319.2
24,595.0,4556.0,4.0,-24.0,11.0,0.9269037892486996,15.0,14.0,321.5,324.9,321.6
25,571.6,4877.0,1.3,-24.8,12.0,0.8980462784591607,20.0,8.0,322.0,325.3,322.2
26,550.1,5182.0,-1.3,-25.6,14.0,0.868078844897592,15.0,6.0,322.5,325.6,322.6
27,523.0,5586.0,-4.7,-26.7,16.0,0.8259600979336624,15.0,12.0,323.1,326.1,323.2
28,508.0,5815.0,-3.9,-28.9,12.0,0.6936577239645516,15.0,16.0,326.7,329.4,326.9
29,500.0,5940.0,-4.7,-29.7,12.0,0.6537768222093491,15.0,18.0,327.2,329.7,327.4
30,490.1,6096.0,-5.5,-30.5,12.0,0.6183919065012138,20.0,18.0,328.1,330.5,328.3
31,473.0,6374.0,-6.9,-31.9,12.0,0.5605361599714597,6.0,22.0,329.8,331.9,329.9
32,471.3,6401.0,-7.2,-32.0,12.0,0.5571724444176728,5.0,22.0,329.8,331.9,329.9
33,452.8,6706.0,-10.0,-33.2,13.0,0.5163428128406955,355.0,21.0,330.0,332.0,330.1
34,401.6,7620.0,-18.6,-36.8,19.0,0.4075873753786611,5.0,24.0,330.3,331.9,330.4
35,400.0,7650.0,-18.9,-36.9,19.0,0.40511376081059713,5.0,24.0,330.3,331.9,330.4
