,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,1014.0,62.0,18.2,8.2,52.0,6.739422697227517,290.0,7.0,290.2,309.7,291.4
1,1000.0,172.0,16.4,7.4,55.0,6.468475666909761,295.0,13.0,289.6,308.2,290.7
2,984.4,305.0,13.9,6.5,61.0,6.174698425440835,320.0,13.0,288.4,306.1,289.4
3,980.0,343.0,13.2,6.2,63.0,6.07451889148099,320.0,12.0,288.0,305.5,289.1
4,949.2,610.0,10.7,4.7,66.0,5.647530877304449,320.0,6.0,288.1,304.4,289.1
5,948.0,621.0,10.6,4.6,66.0,5.615015742564536,318.0,6.0,288.1,304.3,289.1
6,929.0,789.0,10.0,3.0,62.0,5.11576619360593,278.0,3.0,289.2,304.1,290.1
7,925.0,825.0,10.2,3.2,62.0,5.211909160988733,270.0,2.0,289.7,304.9,290.6
8,917.0,897.0,9.8,3.8,66.0,5.4870235369254505,213.0,4.0,290.0,306.0,291.0
9,915.2,914.0,9.8,3.7,66.0,5.459012632894765,200.0,4.0,290.2,306.2,291.2
10,882.2,1219.0,10.6,2.7,58.0,5.275122910069824,135.0,3.0,294.0,309.7,295.0
11,880.0,1240.0,10.6,2.6,58.0,5.250685469772967,138.0,3.0,294.3,309.9,295.2
12,862.0,1412.0,9.8,3.8,66.0,5.840410991491367,166.0,3.0,295.2,312.6,296.3
13,850.0,1529.0,9.8,2.8,62.0,5.516060604679434,185.0,3.0,296.4,312.9,297.4
14,844.0,1588.0,10.0,-2.0,43.0,3.9156516840655784,196.0,3.0,297.2,309.2,297.9
15,832.0,1707.0,9.0,-2.0,46.0,3.97248811958571,218.0,4.0,297.4,309.5,298.1
16,826.0,1767.0,8.8,0.8,57.0,4.915206940310907,229.0,4.0,297.8,312.7,298.7
17,819.8,1829.0,8.5,0.5,57.0,4.84575549721805,240.0,4.0,298.1,312.9,299.0
18,817.0,1857.0,8.4,0.4,57.0,4.827192031373336,242.0,4.0,298.3,312.9,299.2
19,804.0,1990.0,7.6,2.7,71.0,5.792979321360495,253.0,5.0,298.8,316.3,299.9
20,800.0,2031.0,7.6,1.6,66.0,5.379214322222165,257.0,5.0,299.2,315.5,300.2
21,793.0,2103.0,7.8,-5.2,39.0,3.277382196316293,262.0,6.0,300.2,310.4,300.8
22,790.0,2134.0,7.8,-5.5,39.0,3.215481557503234,265.0,6.0,300.5,310.6,301.1
23,771.0,2335.0,7.6,-7.4,34.0,2.846948632020481,258.0,6.0,302.4,311.4,302.9
24,764.0,2410.0,7.2,-3.8,45.0,3.7831805089843797,256.0,6.0,302.8,314.6,303.5
25,761.4,2438.0,7.1,-5.2,41.0,3.4141483449946084,255.0,6.0,302.9,313.7,303.5
26,756.0,2497.0,6.8,-8.2,33.0,2.7284827844298865,251.0,7.0,303.2,311.9,303.7
27,745.0,2617.0,6.2,-8.8,33.0,2.641950710253707,243.0,8.0,303.9,312.3,304.4
28,741.0,2661.0,5.8,-2.2,56.0,4.3979429715584875,240.0,8.0,303.9,317.6,304.7
29,738.0,2694.0,5.6,-2.4,56.0,4.350656598329603,238.0,9.0,304.0,317.6,304.8
30,733.6,2743.0,5.4,-4.5,49.0,3.7378963264265965,235.0,9.0,304.4,316.2,305.1
31,711.0,2998.0,4.6,-15.4,22.0,1.6260532710513997,256.0,11.0,306.2,311.6,306.5
32,706.7,3048.0,4.2,-13.3,27.0,1.944119934951972,260.0,11.0,306.3,312.7,306.7
33,704.0,3079.0,4.0,-12.0,30.0,2.1683277728879453,258.0,11.0,306.4,313.5,306.8
34,700.0,3125.0,4.0,-16.0,22.0,1.5713130006176441,255.0,10.0,306.9,312.1,307.2
35,692.0,3218.0,3.8,-22.2,13.0,0.9347469988359524,257.0,11.0,307.7,310.9,307.9
36,687.0,3277.0,3.4,-18.6,18.0,1.2860246377701787,258.0,11.0,307.9,312.2,308.1
37,683.0,3325.0,3.2,-25.8,10.0,0.6863965430390055,259.0,12.0,308.1,310.6,308.3
38,680.0,3360.0,3.2,-21.8,14.0,0.9852833651230282,259.0,12.0,308.5,311.9,308.7
39,671.0,3468.0,2.4,-13.6,30.0,1.9983931887712223,261.0,13.0,308.8,315.5,309.2
40,655.3,3658.0,1.1,-14.8,29.0,1.854451023659192,265.0,15.0,309.5,315.7,309.9
41,631.0,3962.0,-0.9,-16.9,29.0,1.6171134789249548,250.0,13.0,310.6,316.1,310.9
42,621.0,4090.0,-1.7,-17.7,28.0,1.5360503383319335,250.0,15.0,311.0,316.2,311.3
43,611.0,4219.0,-1.7,-26.7,13.0,0.7068650241173553,250.0,17.0,312.5,315.0,312.6
44,607.3,4267.0,-1.9,-28.3,11.0,0.61351754721761,250.0,18.0,312.8,315.0,312.9
45,593.0,4457.0,-2.7,-34.7,6.0,0.3402785647757251,248.0,18.0,314.0,315.3,314.1
46,587.0,4537.0,-2.9,-27.9,13.0,0.6587694969272632,248.0,18.0,314.7,317.1,314.8
47,571.0,4756.0,-4.7,-25.7,18.0,0.828704884435004,246.0,18.0,315.1,318.0,315.2
48,562.2,4877.0,-5.4,-27.5,16.0,0.7137879278461566,245.0,18.0,315.6,318.2,315.8
49,547.0,5092.0,-6.7,-30.7,13.0,0.5435804591456481,249.0,19.0,316.6,318.6,316.7
50,544.0,5135.0,-6.9,-26.9,19.0,0.7795985296057689,249.0,20.0,316.8,319.6,317.0
51,540.0,5193.0,-7.3,-16.3,49.0,1.987977819132168,250.0,20.0,317.0,323.8,317.4
52,538.0,5222.0,-7.7,-14.7,57.0,2.2789760215483166,251.0,20.0,316.9,324.6,317.3
53,528.0,5368.0,-8.5,-17.5,48.0,1.8382180007654447,253.0,21.0,317.6,324.0,318.0
54,525.0,5412.0,-8.7,-15.7,57.0,2.1499145881132637,254.0,22.0,317.9,325.3,318.3
55,518.0,5516.0,-8.9,-17.9,48.0,1.811434304635241,255.0,22.0,318.9,325.2,319.2
56,512.0,5607.0,-8.9,-25.9,24.0,0.9076858096418139,257.0,23.0,319.9,323.2,320.1
57,504.0,5729.0,-10.1,-19.1,48.0,1.680883065936404,259.0,24.0,319.9,325.8,320.3
58,500.0,5790.0,-10.3,-20.3,44.0,1.5279947939684506,260.0,24.0,320.4,325.8,320.7
59,488.0,5976.0,-11.9,-20.9,47.0,1.4861994403614955,263.0,26.0,320.7,325.9,321.0
60,480.4,6096.0,-12.7,-24.8,35.0,1.068825958315549,265.0,28.0,321.2,325.0,321.4
61,476.0,6166.0,-13.1,-27.1,30.0,0.8748954978987494,266.0,28.0,321.5,324.7,321.7
62,463.0,6375.0,-14.9,-28.9,29.0,0.7611583626961316,270.0,29.0,321.8,324.6,321.9
63,461.4,6401.0,-15.1,-30.0,27.0,0.688755818549946,270.0,29.0,321.9,324.4,322.0
64,458.0,6457.0,-15.5,-32.5,22.0,0.5463587327567799,269.0,29.0,322.1,324.1,322.2
65,455.0,6506.0,-15.9,-28.9,32.0,0.7745580323310052,269.0,30.0,322.2,325.0,322.3
66,452.0,6556.0,-16.3,-30.3,29.0,0.6834159331532589,268.0,30.0,322.3,324.8,322.4
67,445.0,6673.0,-17.3,-24.3,54.0,1.207079368620472,266.0,31.0,322.4,326.8,322.7
68,424.0,7032.0,-19.9,-29.9,41.0,0.7566968283085767,261.0,33.0,323.6,326.4,323.8
69,408.0,7315.0,-22.3,-29.3,53.0,0.832118074811599,257.0,34.0,324.1,327.1,324.2
70,400.0,7460.0,-23.7,-31.7,48.0,0.6758091677158689,255.0,35.0,324.1,326.6,324.2
71,391.3,7620.0,-25.3,-32.5,51.0,0.6395854128170562,250.0,36.0,324.1,326.5,324.2
72,389.0,7663.0,-25.7,-32.7,52.0,0.6310308000861846,253.0,37.0,324.1,326.4,324.2
73,382.0,7794.0,-26.1,-44.1,17.0,0.1999148034707762,261.0,38.0,325.2,326.0,325.3
74,375.1,7925.0,-27.1,-42.5,22.0,0.24176141346580865,270.0,40.0,325.5,326.5,325.6
75,369.0,8043.0,-28.1,-41.1,28.0,0.2849983529012426,269.0,40.0,325.8,326.9,325.9
76,359.0,8239.0,-29.9,-42.9,27.0,0.2420484081536267,266.0,40.0,326.0,326.9,326.0
77,347.0,8480.0,-31.5,-49.5,15.0,0.12069131715105852,263.0,40.0,327.0,327.5,327.0
78,323.0,8981.0,-35.7,-49.7,22.0,0.12672637461495714,257.0,41.0,327.9,328.5,328.0
79,315.5,9144.0,-36.9,-52.6,18.0,0.09259193411090974,255.0,41.0,328.6,329.0,328.6
80,310.0,9265.0,-37.7,-54.7,15.0,0.07333674366875284,255.0,40.0,329.0,329.3,329.0
81,300.0,9490.0,-39.7,-54.7,19.0,0.07578159962468589,255.0,39.0,329.3,329.6,329.3
82,284.0,9865.0,-42.9,-55.9,23.0,0.06919153513633775,257.0,40.0,329.9,330.2,329.9
83,264.0,10357.0,-46.1,-61.1,17.0,0.03870620980094766,259.0,42.0,332.2,332.4,332.2
84,250.0,10720.0,-48.9,-59.9,27.0,0.04768798839957915,260.0,43.0,333.2,333.4,333.2
85,248.0,10772.0,-49.3,-60.3,26.0,0.04567452090448237,260.0,43.0,333.4,333.6,333.4
86,240.0,10986.0,-50.5,-63.5,20.0,0.031086608889668,262.0,45.0,334.7,334.9,334.7
87,229.3,11278.0,-52.8,-65.3,20.0,0.025557368026802422,265.0,48.0,335.7,335.8,335.7
88,217.0,11633.0,-55.5,-67.5,21.0,0.019970128557465994,265.0,48.0,336.8,336.9,336.8
89,210.0,11841.0,-55.1,-68.1,18.0,0.018980254523401584,265.0,47.0,340.6,340.7,340.6
90,200.0,12150.0,-56.5,-71.5,13.0,0.012271431012461505,265.0,47.0,343.1,343.2,343.1
91,199.0,12182.0,-56.9,-71.9,13.0,0.011634496165620655,265.0,47.0,343.0,343.1,343.0
92,198.7,12192.0,-56.9,-71.9,13.0,0.011652062417433223,265.0,46.0,343.2,343.2,343.2
93,192.0,12408.0,-56.3,-72.3,12.0,0.011372522500116979,261.0,44.0,347.5,347.5,347.5
94,185.0,12643.0,-57.7,-73.7,11.0,0.009593841575414801,258.0,43.0,348.9,349.0,348.9
95,176.0,12958.0,-55.9,-74.9,8.0,0.008420246540570515,252.0,40.0,356.9,356.9,356.9
96,170.0,13178.0,-56.3,-77.3,5.0,0.006030339318288538,249.0,39.0,359.8,359.8,359.8
97,166.0,13329.0,-55.7,-77.7,5.0,0.005801733363699936,246.0,38.0,363.2,363.3,363.2
98,163.9,13411.0,-56.1,-78.3,5.0,0.005347530947059126,245.0,37.0,363.9,363.9,363.9
99,157.0,13682.0,-57.5,-80.5,4.0,0.003927938922882878,245.0,37.0,366.0,366.0,366.0
100,151.0,13928.0,-57.1,-83.1,2.0,0.0026623356255066743,245.0,38.0,370.8,370.8,370.8
101,150.0,13970.0,-57.3,-83.3,2.0,0.002591817831316149,245.0,38.0,371.1,371.2,371.1
102,146.0,14141.0,-57.5,-84.5,2.0,0.002174254658577238,245.0,37.0,373.7,373.7,373.7
103,143.0,14272.0,-56.5,-84.5,2.0,0.0022198685554650544,245.0,37.0,377.6,377.7,377.6
104,137.0,14544.0,-56.9,-86.9,1.0,0.0015304898025927647,245.0,36.0,381.6,381.6,381.6
105,135.2,14630.0,-56.6,-87.0,1.0,0.0015238764932581934,245.0,36.0,383.6,383.6,383.6
106,132.0,14779.0,-56.1,-87.1,1.0,0.0015336217022241918,250.0,33.0,387.1,387.1,387.1
107,128.8,14935.0,-56.4,-87.6,1.0,0.0014389903548365408,255.0,30.0,389.3,389.3,389.3
108,122.7,15240.0,-56.9,-88.6,1.0,0.0012640091190084198,245.0,29.0,393.7,393.7,393.7
109,119.0,15436.0,-57.3,-89.3,1.0,0.0011489083301437623,249.0,28.0,396.5,396.5,396.5
110,111.0,15877.0,-56.1,-88.1,1.0,0.0015278681780324856,259.0,24.0,406.8,406.8,406.8
