,pres,hght,temp,dwpt,relh,mixr,drct,sknt,thta,thte,thtv
0,1008.0,62.0,8.2,7.7,97.0,6.550776316194142,0.0,0.0,280.7,298.9,281.8
1,1000.0,121.0,8.6,7.9,95.0,6.695315122609888,325.0,2.0,281.8,300.4,282.9
2,995.0,163.0,8.8,8.0,95.0,6.775774125862738,324.0,3.0,282.4,301.3,283.5
3,981.0,280.0,8.2,6.6,90.0,6.2395282582194405,321.0,5.0,282.9,300.4,284.0
4,978.0,305.0,8.0,6.5,90.0,6.215509228412134,320.0,6.0,282.9,300.4,284.0
5,946.0,579.0,5.8,5.4,97.0,5.9526411563571955,324.0,7.0,283.4,300.2,284.4
6,942.5,610.0,5.6,5.3,98.0,5.933194005191756,325.0,7.0,283.5,300.3,284.6
7,925.0,763.0,4.8,4.7,99.0,5.796659450621155,315.0,7.0,284.2,300.6,285.2
8,908.0,914.0,4.0,3.9,99.0,5.581356776503939,260.0,5.0,284.9,300.7,285.8
9,905.0,941.0,3.8,3.7,99.0,5.521085760841821,254.0,5.0,285.0,300.7,285.9
10,887.0,1105.0,4.6,3.8,95.0,5.674297938860893,216.0,6.0,287.4,303.8,288.4
11,881.0,1160.0,4.6,0.3,74.0,4.441512949692861,204.0,7.0,288.0,300.9,288.8
12,874.7,1219.0,4.4,0.1,74.0,4.408921772472063,190.0,7.0,288.4,301.3,289.2
13,874.0,1225.0,4.4,0.1,74.0,4.412477995714701,190.0,7.0,288.4,301.3,289.2
14,870.0,1263.0,4.6,-2.4,60.0,3.6866445124490674,187.0,7.0,289.0,299.9,289.7
15,865.0,1309.0,5.0,-15.0,22.0,1.3808869583005103,184.0,8.0,289.9,294.3,290.2
16,850.0,1452.0,5.0,-22.0,12.0,0.7742720133085201,175.0,9.0,291.4,293.9,291.5
17,837.0,1578.0,5.0,-30.0,6.0,0.37949115902627895,187.0,9.0,292.7,294.0,292.7
18,825.0,1695.0,4.8,-19.2,16.0,1.0170424347863962,198.0,10.0,293.6,297.0,293.8
19,814.0,1804.0,4.0,-12.0,30.0,1.8744274843876925,208.0,10.0,293.9,299.8,294.3
20,811.5,1829.0,3.8,-7.2,44.0,2.7464666760245726,210.0,10.0,294.0,302.4,294.5
